"Name","Color","occasion"
"David Beams 1838 Cocktail","['yellow']","['bbq', 'fall', 'game-day', 'thanksgiving', 'winter']"
"Tropical Spice","['yellow']","['bbq', 'game-day', 'summer', 'tropical']"
"Cognac Summit","['yellow']","['birthday', 'ladies-night', 'spring', 'valentines-day', 'wedding']"
"Shining Light Spice","['yellow']",NA
"Guava Spice","['yellow']","['brunch', 'spring']"
"Limonlicious","['yellow']","['summer']"
"Samba Margarita","['yellow']",NA
"Vodka Lemonade","['yellow']","['bbq', 'summer']"
"Crisp Apple Ade","['yellow']","['fall']"
"Black Mule","['yellow']","['summer']"
"Passion Car","['yellow']","['fall']"
"First Class","['yellow']","['ladies-night']"
"Sparkling Cognac","['yellow']","['ladies-night', 'new-years', 'wedding']"
"Apri Diem","['yellow']","['spring', 'summer']"
"Stars & Stripes Spiced Ice","['yellow']","['bbq', 'summer']"
"Beam Ade","['yellow']","['summer']"
"Honey Apple Cucumber","['yellow']","['brunch', 'spring', 'summer']"
"The Rider","['yellow']","['brunch', 'fall', 'spring']"
"Red Stag Half & Half","['yellow']","['bbq', 'fall', 'game-day', 'spring']"
"Vodka Collins","['yellow']","['summer']"
"Mango Rum Margarita","['yellow']","['spring', 'summer']"
"Kentucky Bubbly","['yellow']","['ladies-night', 'new-years']"
"Peach Lemonade Spritzer","['yellow']","['bbq', 'birthday', 'ladies-night', 'summer', 'wedding']"
"Jim Beam Lemonade","['yellow']","['bbq', 'birthday', 'ladies-night', 'summer']"
"Pina Punch","['yellow']","['bbq', 'brunch', 'fall', 'spring', 'summer']"
"Nectarita","['yellow']","['bbq', 'birthday', 'summer', 'summer', 'summer']"
"Spring Sangria","['yellow']","['bbq', 'brunch', 'spring']"
"Lazy Day Colada","['yellow']","['bbq', 'summer', 'summer', 'tropical']"
"Apple Colada","['yellow']","['summer', 'summer', 'tropical']"
"Bahama Mama","['yellow']","['bbq']"
"Midori Cactus Juice","['yellow']",NA
"Alligator's Kiss","['yellow']","['ladies-night', 'summer']"
"Mango Mojito","['yellow']","['summer', 'tropical']"
"Rum Breeze","['yellow']","['birthday', 'summer', 'tropical']"
"Pineapple Smash","['yellow']","['summer', 'tropical']"
"Hot Toddy","['yellow']","['fall', 'holiday', 'thanksgiving', 'winter']"
"Cruzan 9 Tea","['yellow']","['brunch', 'spring', 'summer']"
"Passion Fruit Passport","['yellow']","['summer']"
"Weekenders' Punch","['yellow']","['bbq', 'birthday', 'summer']"
"Nil Fashioned","['yellow']","['summer']"
"Delusion","['yellow']","['summer', 'tropical']"
"Cruzan Banana Split","['yellow']","['summer', 'tropical']"
"Cruzan Colada","['yellow']","['summer', 'tropical']"
"Pina Colada Martini","['yellow']","['spring', 'summer', 'tropical']"
"Endless Summer Punch","['yellow']","['bbq', 'summer']"
"Strawberry Lemonade Mojito","['yellow']","['bbq', 'brunch', 'spring', 'summer']"
"Sauza 901 Club","['yellow']","['fall']"
"Premier Margarita","['yellow']","['spring', 'summer']"
"The Burgundy","['yellow']",NA
"Kiwi Zest Martini","['yellow']","['spring', 'summer']"
"Ooh La La Lemon","['yellow']","['birthday', 'ladies-night', 'spring', 'summer']"
"Coconut Spritzer","['yellow']","['summer', 'tropical']"
"Sparkling Berry Sangria","['red']","['bbq', 'birthday', 'brunch', 'spring', 'summer', 'valentines-day', 'wedding']"
"Hornitos Paloma","['red']","['bbq', 'christmas', 'holiday', 'summer']"
"Cruzan
Spiced Apple Cider","['red']","['fall', 'halloween', 'holiday', 'winter']"
"Cruzan Cider Punch","['red']","['fall', 'halloween', 'holiday', 'winter']"
"Sipsmith Negroni","['red']","['fall', 'winter']"
"Maker's Mark Merry Berry Buck","['red']","['bbq', 'christmas', 'holiday', 'summer']"
"SQRRL PB&J Shot","['red']","['game-day']"
"Maker's Mark Hot Apple Cider","['red']","['fall', 'holiday', 'thanksgiving']"
"Baker's Midnight Manhattan","['red']","['fall', 'holiday', 'thanksgiving']"
"Pinnacle Black Widow Martini","['red']","['fall', 'halloween']"
"SQRRL An Apple A Day","['red']","['christmas', 'fall', 'game-day', 'thanksgiving', 'winter']"
"El Tesoro Paloma","['red']","['bbq', 'christmas', 'holiday', 'summer']"
"Basil Hayden
Boulevardier","['red']","['fall', 'holiday', 'thanksgiving']"
"Cruzan Cranberry Cider Punch","['red']","['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
"Pinnacle Holly Jolly Punch","['red']","['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
"Negroni","['red']",NA
"Red Zone","['red']","['game-day']"
"Watermelon Rush","['red']","['game-day']"
"Cranberry Mojito","['red']","['christmas', 'fall', 'holiday', 'winter']"
"Laphroaig Blood Mary Queen of Scots","['red']","['brunch', 'fall']"
"Black Sunset","['red']","['fall', 'spring']"
"Melon Berry Mist","['red']","['bbq', 'spring', 'summer']"
"Holiday Wreath","['red']","['holiday', 'winter']"
"Black Cherry Avalanche","['red']","['bbq', 'spring', 'summer']"
"Berry Moscow Mule","['red']","['bbq', 'brunch', 'spring', 'summer']"
"Independence Spice","['red']","['spring']"
"Dad’s Bourbon Mary","['red']","['brunch', 'game-day']"
"Jim Beam Black
Manhattan","['red']","['game-day', 'winter']"
"Paris Dream","['red']","['ladies-night', 'holiday', 'valentines-day']"
"Flirty Fizz","['red']","['ladies-night', 'holiday', 'valentines-day']"
"Orchard Twist","['red']","['fall']"
"Tequiliano","['red']",NA
"Fire Apple","['red']","['fall']"
"Bloody Beam","['red']","['brunch']"
"Cranberry Cooler","['red']","['fall', 'thanksgiving', 'thanksgiving']"
"The Devil & Miss Mary","['red']","['brunch']"
"Black Beauty","['red']","['summer']"
"Strawberry Daiquiri","['red']","['ladies-night', 'summer', 'tropical']"
"The Samuels","['red']","['birthday', 'ladies-night', 'fall', 'thanksgiving']"
"Apples and Bourbon","['red']","['fall', 'holiday', 'thanksgiving']"
"Bloody Mark","['red']","['brunch']"
"The Unnecessary Noise","['red']","['bbq', 'fall', 'thanksgiving']"
"Summer Mash Up","['red']","['bbq', 'summer', 'tropical']"
"Spaghetti Western","['red']","['birthday']"
"After Midnight in Kentucky","['red']","['birthday', 'ladies-night']"
"Condopolitan","['red']","['ladies-night', 'fall', 'spring']"
"Sauza Strawberry Margarita","['red']","['bbq', 'summer']"
"DeKuyper Banana Split","['red']","['birthday']"
"New England Apple Pie","['red']","['fall', 'holiday', 'thanksgiving']"
"Candy Apple","['red']","['birthday', 'ladies-night', 'fall', 'holiday', 'thanksgiving']"
"Holly Jolly Punch","['red']","['bbq', 'christmas', 'fall', 'holiday', 'thanksgiving']"
"Berry Burst","['red']","['bbq', 'birthday', 'ladies-night', 'spring', 'summer']"
"Melon Creek Martini","['red']","['bbq', 'ladies-night', 'summer', 'summer', 'summer']"
"The Raspberry Julep","['red']","['ladies-night', 'spring', 'summer']"
"Double Razzmatazz Grape Martini","['red']","['ladies-night', 'new-years', 'summer', 'summer', 'summer']"
"Cran-Apple Martini","['red']","['birthday', 'ladies-night', 'fall', 'thanksgiving']"
"Cherry Margarita","['red']","['ladies-night', 'summer', 'summer', 'summer']"
"Sauza Razzmatazz Margarita","['red']","['bbq', 'summer', 'summer', 'summer']"
"Razzmatazz Sangria","['red']","['bbq', 'summer', 'summer', 'summer']"
"Sunset Daiquiri","['red']","['summer', 'tropical']"
"Ruby Sparkler","['red']","['summer']"
"Hornitos Black Barrel Tequila Manhattan","['red']","['fall', 'winter']"
"Bloody Maria","['red']","['brunch']"
"Candy Apple Margarita","['red']","['ladies-night', 'summer']"
"Stars and Stripes Bloody Mary","['red']","['bbq', 'brunch', 'summer']"
"Red Greyhound Pinn-Tini","['red']","['ladies-night', 'holiday', 'spring', 'valentines-day']"
"Pineapple Razztini","['red']","['ladies-night', 'summer', 'tropical']"
"Mango Cran-Tini","['red']","['ladies-night', 'summer', 'tropical']"
"Grape Cosmo","['red']","['birthday', 'ladies-night', 'summer']"
"Sunday Funday Bloody Mary","['red']","['brunch', 'game-day']"
"Classic Cosmo","['red']","['ladies-night', 'summer']"
"Skinnygirl Bloody Mary","['red']","['brunch']"
"Japanese Gin Sour","['orange']","['fall', 'summer', 'winter']"
"Kentucky Mule","['orange']","['bbq', 'brunch', 'spring', 'summer']"
"Don Francisco Margarita","['orange']","['bbq', 'birthday', 'spring', 'summer']"
"Maker's Mark Paper Plane","['orange']","['fall', 'winter']"
"Maker's Mark
Bourbon Spritz","['orange']","['brunch', 'spring', 'summer']"
"EFFEN Blood Orange Crush","['orange']","['fall', 'holiday', 'thanksgiving']"
"The Wheel","['orange']","['fall', 'holiday', 'winter']"
"Orangesicle","['orange']","['game-day']"
"Bourbon Cider Sour","['orange']","['fall', 'thanksgiving']"
"Zombie","['orange']","['fall', 'halloween']"
"Lemon Tell You Somethin’ Honey","['orange']","['fall', 'game-day', 'thanksgiving']"
"Double Oak Whiskey Smash","['orange']","['bbq', 'fall', 'summer']"
"Kiss Me Cocktail","['orange']","['birthday', 'holiday', 'new-years']"
"Tequila Sunrise","['orange']","['brunch', 'tropical']"
"Mango Sunset","['orange']","['bbq', 'spring', 'summer', 'tropical']"
"Basil Berry Mojito","['orange']","['bbq', 'spring', 'summer']"
"Juicy Screw","['orange']","['bbq', 'ladies-night', 'brunch', 'spring', 'summer']"
"Spiced Christmas Punch","['orange']","['fall', 'holiday', 'winter']"
"Amaretto Sour","['orange']","['thanksgiving']"
"Zarza","['orange']",NA
"Peach Old Fashioned","['orange']","['fall']"
"The Contemporary","['orange']","['fall']"
"Courvoisier Old Fashioned","['orange']",NA
"Devil in the Morning","['orange']","['brunch', 'summer']"
"Bourbon Sour","['orange']","['summer']"
"Kentucky Sunrise","['orange']","['brunch', 'spring', 'summer']"
"Jim Beam Collins","['orange']",NA
"Hurricane","['orange']","['summer', 'tropical']"
"Man O' War","['orange']","['birthday', 'ladies-night', 'fall', 'spring', 'wedding']"
"Le Provocateur","['orange']","['birthday', 'ladies-night', 'new-years']"
"The Brown Derby","['orange']","['birthday', 'ladies-night', 'ladies-night', 'fall']"
"Maker's Mistletoe","['orange']","['christmas', 'fall', 'holiday']"
"Makerita","['orange']","['ladies-night', 'summer']"
"Bourbon Squash","['orange']","['fall', 'thanksgiving']"
"Apricot Sour","['orange']","['fall', 'spring', 'summer']"
"Fuzzy Beam","['orange']","['brunch', 'summer']"
"Apple Pie","['orange']","['fall', 'thanksgiving']"
"Mai Time","['orange']","['summer', 'tropical']"
"Watermelon Mai Tai","['orange']","['bbq', 'birthday', 'summer', 'summer', 'tropical']"
"Sloe Gin Fizz","['orange']","['bbq', 'birthday', 'summer']"
"Amaretto Stone Sour","['orange']","['birthday', 'fall', 'summer']"
"Peachtree Martini","['orange']","['ladies-night', 'spring']"
"Apple Cider Float","['orange']","['birthday', 'fall', 'thanksgiving']"
"Classic Rum Punch","['orange']","['bbq', 'summer', 'tropical']"
"Peach Mojito","['orange']","['spring', 'summer']"
"Smashin' Passion","['orange']","['summer', 'tropical']"
"Cruzan Sidecar","['orange']","['ladies-night']"
"Key Lime Sparkler","['orange']","['summer']"
"Slowpoke Shandy","['orange']","['game-day', 'summer']"
"Planter's Punch","['orange']","['summer', 'tropical']"
"Autumn-tini","['orange']","['fall', 'thanksgiving']"
"Cruzan 9 Punch","['orange']","['bbq', 'ladies-night', 'summer']"
"Mango Hurricane","['orange']","['bbq', 'summer', 'tropical']"
"Voodoo Hurricane","['orange']","['ladies-night', 'summer', 'tropical']"
"Banana Nana","['orange']","['summer', 'tropical']"
"Island Breeze","['orange']","['summer', 'tropical']"
"Pequeña Colada","['orange']","['summer', 'tropical']"
"The Summer Friday","['orange']","['summer', 'tropical']"
"Orange Coco-Naut Cosmos","['orange']","['summer', 'tropical']"
"Orange Dreamsicle","['orange']","['summer']"
"Cran Tropic-Tini","['orange']","['summer', 'tropical']"
"Tom Collins","['clear']","['bbq', 'brunch', 'spring', 'summer']"
"Tokyo Collins","['clear']","['bbq', 'brunch', 'spring', 'summer']"
"Vesper","['clear']","['fall', 'spring', 'summer', 'winter']"
"Bruxo Mezcal Mule","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Hornitos Ranch Water","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Sipsmith Gin and Tonic","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Pinnacle Mule","['clear']","['birthday', 'christmas', 'holiday', 'summer']"
"Haku Martini","['clear']",NA
"Haku Highball (“Haku-Hi”)","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Toki Highball","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Roku Gin Sonic","['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Sauza Classic Margarita","['clear']","['summer']"
"Gin & Tonic","['clear']",NA
"EFFEN Green Apple Cooler","['clear']","['fall', 'spring', 'summer']"
"EFFEN Raspberry Lemonade","['clear']","['brunch', 'summer']"
"Vodka Beast","['clear']","['birthday']"
"Classic Mojito","['clear']","['bbq', 'ladies-night', 'spring', 'summer', 'tropical']"
"Citrus Fizz","['clear']","['birthday', 'ladies-night', 'brunch', 'valentines-day']"
"Jim Beam Apple Highball","['clear']","['game-day']"
"Cruzan Daiquiri","['clear']","['summer', 'tropical']"
"Jalapeño Margarita","['clear']","['summer']"
"Cucumber Martini","['clear']","['ladies-night', 'summer']"
"Vodka Gimlet","['clear']","['summer']"
"Moscow Mule","['clear']","['bbq', 'spring', 'summer']"
"White Chocolate Raspberry Martini","['clear']","['birthday', 'ladies-night', 'holiday', 'valentines-day', 'winter']"
"Ginger Martini","['clear']","['christmas', 'holiday', 'winter']"
"Elderflower Martini","['clear']","['birthday', 'ladies-night', 'summer', 'summer', 'summer', 'wedding']"
"Elderflower Margarita","['clear']","['bbq', 'ladies-night']"
"Slippery Slide","['clear']","['ladies-night', 'christmas', 'holiday', 'winter']"
"Peachtree Bellini","['clear']","['birthday', 'ladies-night', 'brunch', 'holiday', 'new-years', 'spring', 'summer', 'valentines-day', 'wedding']"
"Classic Lemon Drop","['clear']","['birthday', 'ladies-night', 'summer']"
"Sauza Peach Margarita","['clear']","['bbq']"
"Peach Sangria","['clear']","['spring']"
"Home Team Mojito","['clear']","['spring']"
"Cruzan Confusion","['clear']","['bbq', 'summer', 'tropical']"
"Paradise Punch","['clear']","['summer', 'tropical']"
"Strawberry Rosemary Punch","['clear']","['ladies-night', 'summer']"
"Strawberry Basil Spritzer","['clear']","['ladies-night', 'spring', 'summer']"
"Spiced Holly Highball","['clear']","['christmas', 'fall', 'holiday', 'thanksgiving']"
"Cruzan Summer Breeze","['clear']","['bbq', 'summer']"
"Light and Tonic","['clear']","['spring', 'summer']"
"Peach on the Beach","['clear']","['summer', 'tropical']"
"Cruzan Peach Sangria","['clear']","['bbq', 'spring', 'summer']"
"Peach Daiquiri","['clear']","['spring', 'summer']"
"Classic Margarita","['clear']","['summer']"
"Juan Collins","['clear']","['spring', 'summer']"
"Mexican Julep","['clear']","['spring', 'summer']"
"Sunset Martini","['clear']","['ladies-night', 'summer']"
"Chocolate Covered Berries","['clear']","['birthday', 'ladies-night', 'spring', 'summer', 'valentines-day']"
"Peachy Keen","['clear']","['spring', 'summer']"
"Midnight's Kiss","['clear']","['new-years']"
"Dirty Martini","['clear']",NA
"Handsome Ginger","['clear']","['summer']"
"Last Word","['green']","['spring', 'summer']"
"Midori Pot of Gold","['green']",NA
"'Tea' New Fashioned","['green']","['birthday', 'brunch', 'fall', 'holiday', 'spring', 'summer', 'winter']"
"Sauza Mexican Paloma","['green']","['fall', 'summer']"
"DeKuyper End of the Rainbow","['green']","['game-day', 'spring']"
"Hornitos Shot-Taker
Margarita","['green']","['fall', 'spring', 'summer', 'winter']"
"El Tesoro Tommy's Margarita","['green']","['fall']"
"Sour Apple Highball","['green']","['game-day']"
"Cucumber Melon Margarita","['green']","['spring', 'summer']"
"Cucumber Cooler","['green']","['spring', 'summer']"
"Melon Cooler","['green']","['brunch', 'spring']"
"Melon Ball","['green']","['ladies-night', 'summer', 'tropical']"
"Midori and Ginger Beer","['green']","['summer']"
"Green Eyed Ginger","['green']",NA
"Emerald Daiquiri","['green']","['spring', 'summer', 'tropical']"
"Midori Jim and Ginger","['green']","['bbq', 'spring', 'summer']"
"Garden Delight","['green']","['spring', 'summer', 'wedding']"
"Bourbon Tarragon Cooler","['green']","['summer']"
"Midori Splice","['green']","['tropical']"
"Green Haze","['green']","['spring', 'summer', 'tropical', 'tropical']"
"Midori and Ginger","['green']","['bbq']"
"Fresh Midori Sour","['green']","['tropical']"
"Fuzzy Melon Ball","['green']","['ladies-night', 'spring']"
"Midori Orange and Sparkling","['green']","['new-years', 'spring', 'summer']"
"Midori Mistletoe","['green']","['christmas', 'holiday']"
"Holly Jolly","['green']","['christmas', 'holiday']"
"Midori Sparkle","['green']","['birthday', 'ladies-night', 'holiday', 'new-years', 'summer']"
"Melon Splash","['green']","['bbq', 'birthday', 'summer']"
"Apple Fizz","['green']","['bbq']"
"Caramel Apple Martini","['green']","['fall', 'halloween', 'thanksgiving']"
"Caramel Apple Shot","['green']","['fall', 'halloween', 'thanksgiving']"
"Appletini","['green']","['fall', 'halloween', 'spring']"
"Mintini Martini","['green']","['birthday', 'christmas', 'holiday', 'winter']"
"Sour Apple Popsicle Martini","['green']","['birthday', 'ladies-night', 'summer']"
"Green River","['green']",NA
"Hornitos Midori Margarita","['green']","['summer', 'tropical']"
"Midori Margarita","['green']",NA
"Bourbon Renewal","['pink']","['bbq', 'brunch', 'spring', 'summer']"
"Kentucky Buck","['pink']","['bbq', 'spring', 'summer']"
"Tickled Pink","['pink']","['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
"The Berry Thought of You","['pink']","['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
"Strawberry Crush","['pink']","['birthday', 'brunch', 'valentines-day', 'wedding']"
