Name,Color
Cruzan Banana Split,['yellow']
Cruzan Colada,['yellow']
Pina Colada Martini,['yellow']
Endless Summer Punch,['yellow']
Strawberry Lemonade Mojito,['yellow']
Sauza 901 Club,['yellow']
Premier Margarita,['yellow']
The Burgundy,['yellow']
Kiwi Zest Martini,['yellow']
Ooh La La Lemon,['yellow']
Coconut Spritzer,['yellow']
Sparkling Berry Sangria,['red']
Hornitos Paloma,['red']
"Cruzan
Spiced Apple Cider",['red']
Cruzan Cider Punch,['red']
Sipsmith Negroni,['red']
Maker's Mark Merry Berry Buck,['red']
SQRRL PB&J Shot,['red']
Maker's Mark Hot Apple Cider,['red']
Baker's Midnight Manhattan,['red']
Pinnacle Black Widow Martini,['red']
SQRRL An Apple A Day,['red']
El Tesoro Paloma,['red']
"Basil Hayden
Boulevardier",['red']
Cruzan Cranberry Cider Punch,['red']
Pinnacle Holly Jolly Punch,['red']
Negroni,['red']
Red Zone,['red']
Watermelon Rush,['red']
Cranberry Mojito,['red']
Laphroaig Blood Mary Queen of Scots,['red']
Black Sunset,['red']
Melon Berry Mist,['red']
Holiday Wreath,['red']
Black Cherry Avalanche,['red']
Berry Moscow Mule,['red']
Independence Spice,['red']
Dad’s Bourbon Mary,['red']
"Jim Beam Black
Manhattan",['red']
Paris Dream,['red']
Flirty Fizz,['red']
Orchard Twist,['red']
Tequiliano,['red']
Fire Apple,['red']
Bloody Beam,['red']
Cranberry Cooler,['red']
The Devil & Miss Mary,['red']
Black Beauty,['red']
Strawberry Daiquiri,['red']
The Samuels,['red']
Apples and Bourbon,['red']
Bloody Mark,['red']
The Unnecessary Noise,['red']
Summer Mash Up,['red']
Spaghetti Western,['red']
After Midnight in Kentucky,['red']
Condopolitan,['red']
Sauza Strawberry Margarita,['red']
DeKuyper Banana Split,['red']
New England Apple Pie,['red']
Candy Apple,['red']
Holly Jolly Punch,['red']
Berry Burst,['red']
Melon Creek Martini,['red']
The Raspberry Julep,['red']
Double Razzmatazz Grape Martini,['red']
Cran-Apple Martini,['red']
Cherry Margarita,['red']
Sauza Razzmatazz Margarita,['red']
Razzmatazz Sangria,['red']
Sunset Daiquiri,['red']
Ruby Sparkler,['red']
Hornitos Black Barrel Tequila Manhattan,['red']
Bloody Maria,['red']
Candy Apple Margarita,['red']
Stars and Stripes Bloody Mary,['red']
Red Greyhound Pinn-Tini,['red']
Pineapple Razztini,['red']
Mango Cran-Tini,['red']
Grape Cosmo,['red']
Sunday Funday Bloody Mary,['red']
Classic Cosmo,['red']
Skinnygirl Bloody Mary,['red']
Japanese Gin Sour,['orange']
Kentucky Mule,['orange']
Don Francisco Margarita,['orange']
Maker's Mark Paper Plane,['orange']
"Maker's Mark
Bourbon Spritz",['orange']
EFFEN Blood Orange Crush,['orange']
The Wheel,['orange']
Orangesicle,['orange']
Bourbon Cider Sour,['orange']
Zombie,['orange']
Lemon Tell You Somethin’ Honey,['orange']
Double Oak Whiskey Smash,['orange']
Kiss Me Cocktail,['orange']
Tequila Sunrise,['orange']
Mango Sunset,['orange']
Basil Berry Mojito,['orange']
Juicy Screw,['orange']
Spiced Christmas Punch,['orange']
Amaretto Sour,['orange']
Zarza,['orange']
Peach Old Fashioned,['orange']
The Contemporary,['orange']
Courvoisier Old Fashioned,['orange']
Devil in the Morning,['orange']
Bourbon Sour,['orange']
Kentucky Sunrise,['orange']
Jim Beam Collins,['orange']
Hurricane,['orange']
Man O' War,['orange']
Le Provocateur,['orange']
The Brown Derby,['orange']
Maker's Mistletoe,['orange']
Makerita,['orange']
Bourbon Squash,['orange']
Apricot Sour,['orange']
Fuzzy Beam,['orange']
Apple Pie,['orange']
Mai Time,['orange']
Watermelon Mai Tai,['orange']
Sloe Gin Fizz,['orange']
Amaretto Stone Sour,['orange']
Peachtree Martini,['orange']
Apple Cider Float,['orange']
Classic Rum Punch,['orange']
Peach Mojito,['orange']
Smashin' Passion,['orange']
Cruzan Sidecar,['orange']
Key Lime Sparkler,['orange']
Slowpoke Shandy,['orange']
Planter's Punch,['orange']
Autumn-tini,['orange']
Cruzan 9 Punch,['orange']
Mango Hurricane,['orange']
Voodoo Hurricane,['orange']
Banana Nana,['orange']
Island Breeze,['orange']
Pequeña Colada,['orange']
The Summer Friday,['orange']
Orange Coco-Naut Cosmos,['orange']
Orange Dreamsicle,['orange']
Cran Tropic-Tini,['orange']
Tom Collins,['clear']
Tokyo Collins,['clear']
Vesper,['clear']
Bruxo Mezcal Mule,['clear']
Hornitos Ranch Water,['clear']
Sipsmith Gin and Tonic,['clear']
Pinnacle Mule,['clear']
Haku Martini,['clear']
Haku Highball (“Haku-Hi”),['clear']
Toki Highball,['clear']
Roku Gin Sonic,['clear']
Sauza Classic Margarita,['clear']
Gin & Tonic,['clear']
EFFEN Green Apple Cooler,['clear']
EFFEN Raspberry Lemonade,['clear']
Vodka Beast,['clear']
Classic Mojito,['clear']
Citrus Fizz,['clear']
Jim Beam Apple Highball,['clear']
Cruzan Daiquiri,['clear']
Jalapeño Margarita,['clear']
Cucumber Martini,['clear']
Vodka Gimlet,['clear']
Moscow Mule,['clear']
White Chocolate Raspberry Martini,['clear']
Ginger Martini,['clear']
Elderflower Martini,['clear']
Elderflower Margarita,['clear']
Slippery Slide,['clear']
Peachtree Bellini,['clear']
Classic Lemon Drop,['clear']
Sauza Peach Margarita,['clear']
Peach Sangria,['clear']
Home Team Mojito,['clear']
Cruzan Confusion,['clear']
Paradise Punch,['clear']
Strawberry Rosemary Punch,['clear']
Strawberry Basil Spritzer,['clear']
Spiced Holly Highball,['clear']
Cruzan Summer Breeze,['clear']
Light and Tonic,['clear']
Peach on the Beach,['clear']
Cruzan Peach Sangria,['clear']
Peach Daiquiri,['clear']
Classic Margarita,['clear']
Juan Collins,['clear']
Mexican Julep,['clear']
Sunset Martini,['clear']
Chocolate Covered Berries,['clear']
Peachy Keen,['clear']
Midnight's Kiss,['clear']
Dirty Martini,['clear']
Handsome Ginger,['clear']
Last Word,['green']
Midori Pot of Gold,['green']
'Tea' New Fashioned,['green']
Sauza Mexican Paloma,['green']
DeKuyper End of the Rainbow,['green']
"Hornitos Shot-Taker
Margarita",['green']
El Tesoro Tommy's Margarita,['green']
Sour Apple Highball,['green']
Cucumber Melon Margarita,['green']
Cucumber Cooler,['green']
Melon Cooler,['green']
Melon Ball,['green']
Midori and Ginger Beer,['green']
Green Eyed Ginger,['green']
Emerald Daiquiri,['green']
Midori Jim and Ginger,['green']
Garden Delight,['green']
Bourbon Tarragon Cooler,['green']
Midori Splice,['green']
Green Haze,['green']
Midori and Ginger,['green']
Fresh Midori Sour,['green']
Fuzzy Melon Ball,['green']
Midori Orange and Sparkling,['green']
Midori Mistletoe,['green']
Holly Jolly,['green']
Midori Sparkle,['green']
Melon Splash,['green']
Apple Fizz,['green']
Caramel Apple Martini,['green']
Caramel Apple Shot,['green']
Appletini,['green']
Mintini Martini,['green']
Sour Apple Popsicle Martini,['green']
Green River,['green']
Hornitos Midori Margarita,['green']
Midori Margarita,['green']
Bourbon Renewal,['pink']
Kentucky Buck,['pink']
Tickled Pink,['pink']
The Berry Thought of You,['pink']
Strawberry Crush,['pink']
Pinnacle Raspberry Lemonade,['pink']
Tres Gen Paloma,['pink']
Classic Hornitos Paloma,['pink']
Prickly Pink Margarita,['pink']
Paloma,['pink']
Shark's Tooth,['pink']
Cucumber Watermelon Martini,['pink']
Sex On The Beach,['pink']
El Bombin,['pink']
Rum Runner,['pink']
Strawberry Julep,['pink']
Fruitcake,['pink']
Watermelon Martini,['pink']
Blushing Margarita,['pink']
Oatmeal Cookie,['pink']
Strawberry Tease Martini,['pink']
Watermelon Pucker,['pink']
Downward Facing Daiquiri,['pink']
Watermelon Margarita,['pink']
Sugar Pop Martini,['pink']
Bay Breeze,['pink']
Sauza Watermelon Margarita,['pink']
Sauza Strawberry Sparkler,['pink']
Paris Escape,['pink']
Pink Pineapple-Tini,['pink']
Pinnacle Summer Breeze,['pink']
Vanilla Cream Berry-Tini,['pink']
Strawberry Basil,['pink']
