Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion
Sazerac,https://www.thecocktailproject.com/Sazerac,"Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe",Cognac,Sweet,3,19,"Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe",['brown'],['winter']
Jim Beam and Ginger Highball,https://www.thecocktailproject.com/drink-recipes/jim-beam-ginger-highball,"Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge",Bourbon,,3,32,"Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge",['brown'],"['bbq', 'christmas', 'holiday', 'summer']"
Midori Pot of Gold,https://www.thecocktailproject.com/drink-recipes/midori-pot-gold,"Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water",Cordials,Sour,3,29,"Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water",['green'],
Smoked Maple Old Fashioned,https://www.thecocktailproject.com/Smoked-Maple-Old-Fashioned,"Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries",Bourbon,Sweet,3,69,"Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries",['brown'],"['fall', 'holiday', 'thanksgiving']"
Kentucky Made,https://www.thecocktailproject.com/Kentucky-Made,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices",Bourbon,Sweet,3,40,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices",['yellow'],"['bbq', 'fall', 'spring', 'summer']"
Bourbon Renewal,https://www.thecocktailproject.com/Bourbon-Renewal,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Creme de Cassis Liqueur, Simple Syrup, Angostura Bitters",Bourbon,Sweet,3,43,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Cr????????????????me de Cassis Liqueur, Simple Syrup, Angostura Bitters",['pink'],"['bbq', 'brunch', 'spring', 'summer']"
Kentucky Buck,https://www.thecocktailproject.com/Kentucky-buck,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer",Bourbon,Refreshing,3,44,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer",['pink'],"['bbq', 'spring', 'summer']"
Ginger Buck,https://www.thecocktailproject.com/ginger-buck,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice",Bourbon,Sweet,3,59,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice",['yellow'],"['bbq', 'brunch', 'fall', 'spring', 'summer']"
Hemingway Daiquiri,https://www.thecocktailproject.com/drink-recipes/hemingway-daiquiri,"Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel",Rum,Refreshing,3,34,"Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel",,"['fall', 'spring', 'winter']"
Sparkling Berry Sangria,https://www.thecocktailproject.com/drink-recipes/sparkling-berry-sangria,"Sparkling Rose Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Ros? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries","Cordials,wine",Sweet,3,34,"Sparkling Ros???????????????? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Ros???????????????? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries",['red'],"['bbq', 'birthday', 'brunch', 'spring', 'summer', 'valentines-day', 'wedding']"
Tickled Pink,https://www.thecocktailproject.com/drink-recipes/tickled-pink,"Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers",Vodka,Refreshing,3,64,"Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers",['pink'],"['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
The Berry Thought of You,https://www.thecocktailproject.com/drink-recipes/the-berry-thought-of-you,"Pinnacle Original Vodka, DeKuyper Creme de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Creme de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig",Vodka,Sweet,3,51,"Pinnacle Original Vodka, DeKuyper Cr????????????????me de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Cr????????????????me de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig",['pink'],"['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
Strawberry Crush,https://www.thecocktailproject.com/drink-recipes/strawberry-crush,"Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries",Tequila,Sweet,3,52,"Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries",['pink'],"['birthday', 'brunch', 'valentines-day', 'wedding']"
Mai Tai,https://www.thecocktailproject.com/drink-recipes/mai-tai,"Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge",Rum,Refreshing,3,41,"Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge",['yellow'],"['spring', 'summer', 'tropical']"
Don Francisco Margarita,https://www.thecocktailproject.com/drink-recipes/don-francisco-margarita,"Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold",Tequila,Sweet,0,0,"Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold",['orange'],"['bbq', 'birthday', 'spring', 'summer']"
Hornitos Paloma,https://www.thecocktailproject.com/drink-recipes/hornitos-paloma,"Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge",Tequila,Refreshing,3,50,"Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge",['red'],"['bbq', 'christmas', 'holiday', 'summer']"
Pinnacle Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/pinnacle-raspberry-lemonade,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel",Vodka,Fruity,3,36,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel",['pink'],['summer']
"Cruzan
Spiced Apple Cider",https://www.thecocktailproject.com/drink-recipes/spiced-apple-cider,"Honey, Honey, Orange Juice, Apple Cider, Allspice",Rum,Sweet,3,43,"Honey, Honey, Orange Juice, Apple Cider, Allspice",['red'],"['fall', 'halloween', 'holiday', 'winter']"
CV The French Twist,https://www.thecocktailproject.com/drink-recipes/cv-french-twist,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries",Cognac,Sweet,3,33,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries",['yellow'],['brunch']
Cruzan Cider Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-cider-punch,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices",Rum,Sweet,3,29,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices",['red'],"['fall', 'halloween', 'holiday', 'winter']"
Sipsmith Negroni,https://www.thecocktailproject.com/drink-recipes/sipsmith-negroni,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus",Gin,Sweet,3,48,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus",['red'],"['fall', 'winter']"
CC Ginger Ale,https://www.thecocktailproject.com/drink-recipes/canadian-club-ginger-ale,"Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge",Canadian Whisky,Refreshing,3,33,"Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge",['brown'],"['bbq', 'christmas', 'holiday', 'summer']"
Bruxo Mezcal Mule,https://www.thecocktailproject.com/drink-recipes/bruxo-mezcal-mule,"Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge",Mezcal,Refreshing,3,20,"Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge",['clear'],"['bbq', 'christmas', 'holiday', 'summer']"
Hornitos Ranch Water,https://www.thecocktailproject.com/drink-recipes/Hornitos-ranch-water,"Hornitos Plata Tequila, Fever-Tree Club Soda, Hornitos Plata Tequila, Fever-Tree Club Soda, Lime Juice, Lime Wedge",Tequila,Refreshing,3,79,"Hornitos Plata Tequila, Fever-Tree Club Soda, Hornitos Plata Tequila, Fever-Tree Club Soda, Lime Juice, Lime Wedge",['clear'],"['bbq', 'christmas', 'holiday', 'summer']"
Sipsmith Gin and Tonic,https://www.thecocktailproject.com/drink-recipes/gin-and-tonic,"Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Lime Wedge",Gin,,3,44,"Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Lime Wedge",['clear'],"['bbq', 'christmas', 'holiday', 'summer']"
Pinnacle Mule,https://www.thecocktailproject.com/drink-recipes/pinnacle-moscow-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Fever-Tree Ginger Beer, Lime Wedge",Vodka,Refreshing,3,42,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Fever-Tree Ginger Beer, Lime Wedge",['clear'],"['birthday', 'christmas', 'holiday', 'summer']"
Sauza Mexican Paloma,https://www.thecocktailproject.com/drink-recipes/sauza-mexican-paloma,"Sauza Hacienda Silver Tequila, Grapefruit Soda, Sauza Hacienda Silver Tequila, Grapefruit Soda, Lime Juice, Lime Wheel",Tequila,Sour,3,39,"Sauza Hacienda Silver Tequila, Grapefruit Soda, Sauza Hacienda Silver Tequila, Grapefruit Soda, Lime Juice, Lime Wheel",['green'],"['fall', 'summer']"
DeKuyper End of the Rainbow,https://www.thecocktailproject.com/drink-recipes/dekuyper-end-of-rainbow,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lime Juice, Simple Syrup, Lime Wheel",Cordials,Sour,3,50,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lime Juice, Simple Syrup, Lime Wheel",['green'],"['game-day', 'spring']"
Haku Martini,https://www.thecocktailproject.com/drink-recipes/haku-martini-vodka,"Suntory Haku Vodka, Dry Vermouth, Suntory Haku Vodka, Dry Vermouth, Orange Bitters, Umeboshi",Cordials,Savory,3,32,"Suntory Haku Vodka, Dry Vermouth, Suntory Haku Vodka, Dry Vermouth, Orange Bitters, Umeboshi",['clear'],
EFFEN Blood Orange Crush,https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-crush,"EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, Orange, Lemon-Lime Soda, Orange Wedges",Cordials,Sweet,3,61,"EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, Orange, Lemon-Lime Soda, Orange Wedges",['orange'],"['fall', 'holiday', 'thanksgiving']"
Knob Creek Rye Old Fashioned,https://www.thecocktailproject.com/drink-recipes/knob-creek-rye-old-fashioned,"Knob Creek Straight Rye Whiskey, Angostura Bitters, Knob Creek Straight Rye Whiskey, Angostura Bitters, Demerara Syrup*, Lemon Peel",Bourbon,Sweet,3,42,"Knob Creek Straight Rye Whiskey, Angostura Bitters, Knob Creek Straight Rye Whiskey, Angostura Bitters, Demerara Syrup*, Lemon Peel",['brown'],"['fall', 'holiday', 'thanksgiving']"
Tres Gen Paloma,https://www.thecocktailproject.com/drink-recipes/tres-gen-tequila-paloma,"Tres Generaciones Plata Tequila, Grapefruit Soda, Tres Generaciones Plata Tequila, Grapefruit Soda, Lime Juice, Grapefruit Peel",Tequila,Refreshing,3,32,"Tres Generaciones Plata Tequila, Grapefruit Soda, Tres Generaciones Plata Tequila, Grapefruit Soda, Lime Juice, Grapefruit Peel",['pink'],['summer']
Sipsmith Martini,https://www.thecocktailproject.com/drink-recipes/sipsmith-martini,"Sipsmith London Dry Gin, Vermouth, Sipsmith London Dry Gin, Vermouth, Lemon Twist",Gin,Savory,3,47,"Sipsmith London Dry Gin, Vermouth, Sipsmith London Dry Gin, Vermouth, Lemon Twist",['yellow'],"['fall', 'holiday', 'thanksgiving']"
Kilbeggan Irish Coffee,https://www.thecocktailproject.com/drink-recipes/irish-coffee,"Kilbeggan Single Grain Irish Whiskey, Coffee, Kilbeggan Single Grain Irish Whiskey, Coffee",Irish Whiskey,Hot,4,20,"Kilbeggan Single Grain Irish Whiskey, Coffee, Kilbeggan Single Grain Irish Whiskey, Coffee",['brown'],"['brunch', 'christmas', 'spring', 'winter']"
Pinnacle Black Widow Martini,https://www.thecocktailproject.com/drink-recipes/black-widow-martini,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice",Vodka,,3,31,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice",['red'],"['fall', 'halloween']"
Toki Highball,https://www.thecocktailproject.com/drink-recipes/toki-highball,"Suntory Whisky Toki, Fever-Tree Club Soda, Suntory Whisky Toki, Fever-Tree Club Soda, Grapefruit Peel",Whiskey,Refreshing,3,51,"Suntory Whisky Toki, Fever-Tree Club Soda, Suntory Whisky Toki, Fever-Tree Club Soda, Grapefruit Peel",['clear'],"['bbq', 'christmas', 'holiday', 'summer']"
