Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Midori Pot of Gold,https://www.thecocktailproject.com/drink-recipes/midori-pot-gold,"Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water",Cordials,Sour,3,29
Tea New Fashioned,https://www.thecocktailproject.com/Tea-New-Fashioned,"Legent Bourbon, Choya Plum Wine, Legent Bourbon, Choya Plum Wine, Campari, Matcha Syrup, Mint",Bourbon,Sweet,3,30
Smoked Maple Old Fashioned,https://www.thecocktailproject.com/Smoked-Maple-Old-Fashioned,"Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries",Bourbon,Sweet,3,69
Kentucky Made,https://www.thecocktailproject.com/Kentucky-Made,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices",Bourbon,Sweet,3,40
Bourbon Renewal,https://www.thecocktailproject.com/Bourbon-Renewal,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Cr?me de Cassis Liqueur, Simple Syrup, Angostura Bitters",Bourbon,Sweet,3,43
Kentucky Buck,https://www.thecocktailproject.com/Kentucky-buck,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer",Bourbon,Refreshing,3,44
Ginger Buck,https://www.thecocktailproject.com/ginger-buck,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice",Bourbon,Sweet,3,59
Hemingway Daiquiri,https://www.thecocktailproject.com/drink-recipes/hemingway-daiquiri,"Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel",Rum,Refreshing,3,34
Sparkling Berry Sangria,https://www.thecocktailproject.com/drink-recipes/sparkling-berry-sangria,"Sparkling Ros? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Ros? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries","Cordials,wine",Sweet,3,34
Tickled Pink,https://www.thecocktailproject.com/drink-recipes/tickled-pink,"Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers",Vodka,Refreshing,3,64
The Berry Thought of You,https://www.thecocktailproject.com/drink-recipes/the-berry-thought-of-you,"Pinnacle Original Vodka, DeKuyper Cr?me de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Cr?me de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig",Vodka,Sweet,3,51
Strawberry Crush,https://www.thecocktailproject.com/drink-recipes/strawberry-crush,"Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries",Tequila,Sweet,3,52
Mai Tai,https://www.thecocktailproject.com/drink-recipes/mai-tai,"Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge",Rum,Refreshing,3,41
Pi?a Colada,https://www.thecocktailproject.com/drink-recipes/pina-colada,"Cruzan Aged Dark Rum, Pineapple Juice, Cruzan Aged Dark Rum, Pineapple Juice, Cream of Coconut, Cherries, Better With Bitters",Rum,Sweet,3,47
Don Francisco Margarita,https://www.thecocktailproject.com/drink-recipes/don-francisco-margarita,"Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold",Tequila,Sweet,0,0
Hornitos Paloma,https://www.thecocktailproject.com/drink-recipes/hornitos-paloma,"Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge",Tequila,Refreshing,3,50
Pinnacle Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/pinnacle-raspberry-lemonade,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel",Vodka,Fruity,3,36
Makers Mark Paper Plane,https://www.thecocktailproject.com/drink-recipes/makers-mark-paper-plane,"Maker's Mark Bourbon, Aperol Aperitif, Maker's Mark Bourbon, Aperol Aperitif, Amaro Nonino, Lemon Juice, Lemon Peel",Bourbon,Sweet,3,35
"Makers Mark
Bourbon Spritz",https://www.thecocktailproject.com/drink-recipes/makers-mark-bourbon-spritz,"Maker's Mark Bourbon, Aperol Aperitif, Maker's Mark Bourbon, Aperol Aperitif, Lemon Juice, Simple Syrup, Prosecco, Orange Peel, Simple Garnishes",Bourbon,Sweet,3,44
Basil Haydens Golden Hour,https://www.thecocktailproject.com/drink-recipes/basil-haydens-golden-hour,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lillet Blanc, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lillet Blanc, Aperol Aperitif, Grapefruit Peel",Bourbon,Sweet,3,45
"Cruzan
Spiced Apple Cider",https://www.thecocktailproject.com/drink-recipes/spiced-apple-cider,"Honey, Honey, Orange Juice, Apple Cider, Allspice",Rum,Sweet,3,43
CV The French Twist,https://www.thecocktailproject.com/drink-recipes/cv-french-twist,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries",Cognac,Sweet,3,33
Cruzan Cider Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-cider-punch,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices",Rum,Sweet,3,29
Sipsmith Negroni,https://www.thecocktailproject.com/drink-recipes/sipsmith-negroni,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus",Gin,Sweet,3,48
CC Ginger Ale,https://www.thecocktailproject.com/drink-recipes/canadian-club-ginger-ale,"Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge",Canadian Whisky,Refreshing,3,33
Bruxo Mezcal Mule,https://www.thecocktailproject.com/drink-recipes/bruxo-mezcal-mule,"Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge",Mezcal,Refreshing,3,20
Makers Mark Merry Berry Buck,https://www.thecocktailproject.com/drink-recipes/merry-berry-buck,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Cranberry Juice, Fever-Tree Ginger Beer, Cranberries",Bourbon,Refreshing,3,71
Hornitos Ranch Water,https://www.thecocktailproject.com/drink-recipes/Hornitos-ranch-water,"Hornitos Plata Tequila, Fever-Tree Club Soda, Hornitos Plata Tequila, Fever-Tree Club Soda, Lime Juice, Lime Wedge",Tequila,Refreshing,3,79
Sipsmith Gin and Tonic,https://www.thecocktailproject.com/drink-recipes/gin-and-tonic,"Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Lime Wedge",Gin,N/A,3,44
Pinnacle Mule,https://www.thecocktailproject.com/drink-recipes/pinnacle-moscow-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Fever-Tree Ginger Beer, Lime Wedge",Vodka,Refreshing,3,42
Sauza Mexican Paloma,https://www.thecocktailproject.com/drink-recipes/sauza-mexican-paloma,"Sauza Hacienda Silver Tequila, Grapefruit Soda, Sauza Hacienda Silver Tequila, Grapefruit Soda, Lime Juice, Lime Wheel",Tequila,Sour,3,39
SQRRL PBJ Shot,https://www.thecocktailproject.com/drink-recipes/sqrrl-pbj-shot,"SQRRL Peanut Butter Whiskey, DeKuyper Razzmatazz Schnapps Liqueur, SQRRL Peanut Butter Whiskey, DeKuyper Razzmatazz Schnapps Liqueur, Better With Bitters",Whiskey,Sweet,3,45
DeKuyper End of the Rainbow,https://www.thecocktailproject.com/drink-recipes/dekuyper-end-of-rainbow,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lime Juice, Simple Syrup, Lime Wheel",Cordials,Sour,3,50
Makers Mark Hot Apple Cider,https://www.thecocktailproject.com/drink-recipes/makers-mark-hot-apple-cider,"Maker's Mark Bourbon, Apple Cider, Hot, Maker's Mark Bourbon, Apple Cider, Hot, Allspice, Lemon Wheel",Bourbon,Sweet,3,60
Haku Martini,https://www.thecocktailproject.com/drink-recipes/haku-martini-vodka,"Suntory Haku Vodka, Dry Vermouth, Suntory Haku Vodka, Dry Vermouth, Orange Bitters, Umeboshi",Cordials,Savory,3,32
Bakers Midnight Manhattan,https://www.thecocktailproject.com/drink-recipes/bakers-midnight-manhattan,"Baker's Bourbon, Averna Amaro, Baker's Bourbon, Averna Amaro, Angostura Bitters, Orange Bitters, Amarena Cherry",Bourbon,Sweet,3,32
Legent Sea New Fashioned,https://www.thecocktailproject.com/drink-recipes/legent-sea-new-fashioned,"Legent Bourbon, Salted Honey Syrup, Legent Bourbon, Salted Honey Syrup, Angostura Bitters, Orange Bitters, Nori Strip, Water, Salt",Bourbon,N/A,3,43
EFFEN Blood Orange Crush,https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-crush,"EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, Orange, Lemon-Lime Soda, Orange Wedges",Cordials,Sweet,3,61
Knob Creek Rye Old Fashioned,https://www.thecocktailproject.com/drink-recipes/knob-creek-rye-old-fashioned,"Knob Creek Straight Rye Whiskey, Angostura Bitters, Knob Creek Straight Rye Whiskey, Angostura Bitters, Demerara Syrup*, Lemon Peel",Bourbon,Sweet,3,42
CC  Cola,https://www.thecocktailproject.com/drink-recipes/cc-cola,"Canadian Club 1858 Whisky, Cola, Canadian Club 1858 Whisky, Cola, Lime Wedge",Canadian Whisky,Sweet,3,54
Tres Gen Paloma,https://www.thecocktailproject.com/drink-recipes/tres-gen-tequila-paloma,"Tres Generaciones Plata Tequila, Grapefruit Soda, Tres Generaciones Plata Tequila, Grapefruit Soda, Lime Juice, Grapefruit Peel",Tequila,Refreshing,3,32
Sipsmith Martini,https://www.thecocktailproject.com/drink-recipes/sipsmith-martini,"Sipsmith London Dry Gin, Vermouth, Sipsmith London Dry Gin, Vermouth, Lemon Twist",Gin,Savory,3,47
Kilbeggan Irish Coffee,https://www.thecocktailproject.com/drink-recipes/irish-coffee,"Kilbeggan Single Grain Irish Whiskey, Coffee, Kilbeggan Single Grain Irish Whiskey, Coffee",Irish Whiskey,Hot,4,20
Pinnacle Black Widow Martini,https://www.thecocktailproject.com/drink-recipes/black-widow-martini,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice",Vodka,N/A,3,31
Haku Highball HakuHi,https://www.thecocktailproject.com/drink-recipes/haku-highball,"Suntory Haku Vodka, Fever-Tree Club Soda, Suntory Haku Vodka, Fever-Tree Club Soda, Lemon Peel, Shaking & Stirring",Vodka,N/A,3,41
Toki Highball,https://www.thecocktailproject.com/drink-recipes/toki-highball,"Suntory Whisky Toki, Fever-Tree Club Soda, Suntory Whisky Toki, Fever-Tree Club Soda, Grapefruit Peel",Whiskey,Refreshing,3,51
Roku Gin Sonic,https://www.thecocktailproject.com/drink-recipes/roku-gin-sonic,"Suntory Roku Gin, Soda Water, Suntory Roku Gin, Soda Water, Tonic Water, Lemon Peel",Gin,Refreshing,3,70
Courvoisier Gala,https://www.thecocktailproject.com/drink-recipes/courvoisier-gala,"Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Lemon Wheel",Cognac,Sour,4,28
SQRRL An Apple A Day,https://www.thecocktailproject.com/drink-recipes/sqrrl-apple-day,"SQRRL Peanut Butter Whiskey, Apple Cider, SQRRL Peanut Butter Whiskey, Apple Cider, Lemon Juice, Maple Syrup, Cinnamon",Whiskey,Sweet,3,52
SQRRL Top Banana,https://www.thecocktailproject.com/drink-recipes/sqrrl-top-banana,"SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, Cream, Toasted Coconut",Rum,Fruity,3,37
Sauza Classic Margarita,https://www.thecocktailproject.com/drink-recipes/classic-margarita,"Sauza Silver Tequila, Lime Juice, Sauza Silver Tequila, Lime Juice, DeKuyper Triple Sec Liqueur, Simple Syrup, Lime",Tequila,Sweet,3,78
Cruzan Safe Harbor,https://www.thecocktailproject.com/drink-recipes/dark-and-stormy,"Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Fever-Tree Ginger Beer, Lime Wedge",Rum,N/A,3,43
El Tesoro Paloma,https://www.thecocktailproject.com/drink-recipes/-el-tesoro-paloma,"El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, Lime Wedge, Spice Rim (instead of salt), Grapefruit Wedge",Tequila,Refreshing,3,54
SQRRL Carajillo,https://www.thecocktailproject.com/drink-recipes/sqrrl-carajillo,"SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, Espresso, Coffee Beans",Tequila,Sweet,3,41
SQRRL PB Manhattan,https://www.thecocktailproject.com/drink-recipes/sqrrl-pb-manhattan,"SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, Sweet Vermouth, Angostura Bitters, Maraschino Cherries",Whiskey,Sweet,3,59
Classic Hornitos Paloma,https://www.thecocktailproject.com/drink-recipes/classic-hornitos-paloma,"Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",Tequila,Fruity,3,28
Makers Mark Gold Rush,https://www.thecocktailproject.com/drink-recipes/makers-mark-gold-rush,"Maker's Mark Bourbon, Honey Syrup, Maker's Mark Bourbon, Honey Syrup, Lemon Juice, Lemon Peel",Bourbon,N/A,3,97
Legent Blossom Old Fashioned,https://www.thecocktailproject.com/drink-recipes/legent-blossom-old-fashioned,"Legent Bourbon, Sweet Vermouth, Legent Bourbon, Sweet Vermouth, Luxardo Maraschino Liqueur, Angostura Bitters, Orange Peel",Bourbon,Sweet,3,34
"Basil Hayden
Boulevardier",https://www.thecocktailproject.com/drink-recipes/basil-hayden-boulevardier,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Vermouth, Sweet, Orange Peel",Bourbon,Sweet,3,43
Knob Creek Old Fashioned,https://www.thecocktailproject.com/drink-recipes/knob-creek-old-fashioned,"Knob Creek, Simple Syrup, Knob Creek, Simple Syrup, Angostura Bitters, Orange Peel, Secrets of Citrus",Bourbon,Sweet,3,57
Pinnacle Peppermint Hot Chocolate,https://www.thecocktailproject.com/drink-recipes/peppermint-hot-chocolate,"Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Swiss Miss Milk Chocolate Hot Cocoa, Cherry, Simple Garnishes",Cordials,Sweet,3,36
Cruzan Coquito,https://www.thecocktailproject.com/drink-recipes/cruzan-coquito,"Cruzan Aged Dark Rum, Evaporated Milk, Cruzan Aged Dark Rum, Evaporated Milk, Sweetened Condensed Milk, Cream of Coconut, Cinnamon, Nutmeg, Vanilla Extract, Shredded Coconut",Cordials,Sweet,0,0
Cruzan Cranberry Cider Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-cranberry-cider-punch,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Cranberry Juice, Ginger Ale, Lemon Juice, Apple Slices",Rum,Sweet,3,33
Pinnacle Holly Jolly Punch,https://www.thecocktailproject.com/drink-recipes/holly-jolly-punch,"DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, Cranberry Juice, Ginger Ale, Frozen orange juice concentrate, Cinnamon Allspice, Nutmeg, Cranberries",Cordials,Sweet,3,74
"Hornitos ShotTaker
Margarita",https://www.thecocktailproject.com/drink-recipes/hornitos-shot-taker-margarita,"Hornitos Plata Tequila, Lime Juice, Hornitos Plata Tequila, Lime Juice, Agave Syrup, Lime Wheel",Tequila,Sour,3,34
El Tesoro Tommys Margarita,https://www.thecocktailproject.com/drink-recipes/el-tesoro-tommys-margarita,"El Tesoro Blanco Tequila, Lime Juice, El Tesoro Blanco Tequila, Lime Juice, Agave Syrup, Spicy Salt",Tequila,Sour,3,39
Half  Half Punch,https://www.thecocktailproject.com/drink-recipes/half-half-punch,"Pinnacle Original Vodka, Lemonade, Pinnacle Original Vodka, Lemonade, Iced Tea",Cordials,Sweet,3,90
Summer Fish Bowl,https://www.thecocktailproject.com/drink-recipes/summer-fish-bowl,"Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, Pineapple Juice, Lemon Juice, Lemon Wedge",Cordials,Sweet,3,122
Blue Margarita,https://www.thecocktailproject.com/drink-recipes/blue-margarita,"Sauza Silver Tequila, DeKuyper Triple Sec Liqueur, Sauza Silver Tequila, DeKuyper Triple Sec Liqueur, DeKuyper Blue Curacao Liqueur, Lime Juice, Salt",Cordials,Hot,3,105
Still Steam,https://www.thecocktailproject.com/drink-recipes/still-steam,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Simple Syrup",Cordials,Sour,3,29
The Wheel,https://www.thecocktailproject.com/drink-recipes/wheel,"Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Lime Juice, Simple Syrup",Irish Whiskey,Sour,3,31
Kilbeggan Brosna Sour,https://www.thecocktailproject.com/drink-recipes/kilbeggan-brosna-sour,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Grapefruit Juice, Simple Syrup, Egg White",Gin,N/A,3,40
Gingerbread Sour,https://www.thecocktailproject.com/drink-recipes/gingerbread-sour,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Egg White",Gin,Sour,3,41
Gin  Tonic,https://www.thecocktailproject.com/drink-recipes/gin-tonic,"Sipsmith London Dry Gin, Sipsmith London Dry Gin",Gin,N/A,3,35
Negroni,https://www.thecocktailproject.com/drink-recipes/negroni,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth",Gin,Sour,3,36
Sideline Sipper,https://www.thecocktailproject.com/drink-recipes/sideline-sipper,"Lemonade, Lemonade",Cordials,Sweet,3,38
Blue Lagoon,https://www.thecocktailproject.com/drink-recipes/blue-lagoon,,Cordials,Sweet,3,42
Home Team Punch,https://www.thecocktailproject.com/drink-recipes/home-team-punch,,Cordials,Sweet,3,30
Red Zone,https://www.thecocktailproject.com/drink-recipes/red-zone,"Cranberry Juice, Cranberry Juice",Cordials,Sweet,3,32
Sour Apple Highball,https://www.thecocktailproject.com/drink-recipes/sour-apple-highball,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda",Cordials,Sweet,3,35
Yellowhammer,https://www.thecocktailproject.com/drink-recipes/yellowhammer,"Cruzan Aged Light Rum, Orange Juice, Cruzan Aged Light Rum, Orange Juice, Pineapple Juice",Cordials,Fruity,3,50
Blue Mule,https://www.thecocktailproject.com/drink-recipes/blue-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice",Cordials,Sweet,3,33
Watermelon Rush,https://www.thecocktailproject.com/drink-recipes/watermelon-rush,"Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix",Cordials,Sour,3,43
Black  Gold,https://www.thecocktailproject.com/drink-recipes/black-gold,"Sour Mix, Sour Mix",Bourbon,Sweet,3,48
Cubbie Blue,https://www.thecocktailproject.com/drink-recipes/cubbie-blue,,Cordials,Sweet,3,42
Orangesicle,https://www.thecocktailproject.com/drink-recipes/orangesicle,Ice,Cordials,Sweet,3,56
Cranberry Mojito,https://www.thecocktailproject.com/drink-recipes/cranberry-mojito,"Cruzan Aged Light Rum, Fresh Mint Leaves, Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel",Rum,Fruity,3,39
Blue Flurry,https://www.thecocktailproject.com/drink-recipes/blue-flurry,"Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut",Cordials,Frozen,3,30
Bourbon Cider Sour,https://www.thecocktailproject.com/drink-recipes/bourbon-cider-sour,"Jim Beam, Apple Cider, Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices",Bourbon,Fruity,3,55
Laphroaig Blood Mary Queen of Scots,https://www.thecocktailproject.com/drink-recipes/laphroaig-blood-mary-queen-scots,"Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black",Scotch,Savory,3,25
Pumpkin Spice White Russian,https://www.thecocktailproject.com/drink-recipes/pumpkin-spice-white-russian,"Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice",Cordials,Sweet,3,20
AuKeeTa,https://www.thecocktailproject.com/drink-recipes/au-kee-ta,"Auchentoshan American Oak Single Malt Scotch Whisky, Amaro Nonino, Auchentoshan American Oak Single Malt Scotch Whisky, Amaro Nonino, Lemon Juice",Scotch,Fruity,3,22
Glasgow Seelbach,https://www.thecocktailproject.com/drink-recipes/glasgow-seelbach,"Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist",Champagne,Sweet,3,27
Bobby Burns,https://www.thecocktailproject.com/drink-recipes/bobby-burns,"Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel",Scotch,Savory,3,35
Rob Roy,https://www.thecocktailproject.com/drink-recipes/rob-roy,"Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel",Scotch,N/A,3,28
Zombie,https://www.thecocktailproject.com/drink-recipes/zombie,"Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries",Rum,Fruity,3,37
Beer  Loathing,https://www.thecocktailproject.com/drink-recipes/beer-loathing,"Auchentoshan Three Wood Single Malt Scotch Whisky, Auchentoshan Three Wood Single Malt Scotch Whisky",Beer,Spicy,3,36
Berry White,https://www.thecocktailproject.com/drink-recipes/berry-white,"Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters",Beer,Fruity,3,27
Lemon Tell You Somethin Honey,https://www.thecocktailproject.com/drink-recipes/lemon-tell-you-somethin-honey,"Auchentoshan American Oak Single Malt Scotch Whisky, Honey Syrup, Auchentoshan American Oak Single Malt Scotch Whisky, Honey Syrup, Lemon Juice, Wheat Beer, Lemon Peel",Beer,Fruity,3,32
Its Bitter to Be Hoppy,https://www.thecocktailproject.com/drink-recipes/it-s-bitter-be-hoppy,"Auchentoshan American Oak Single Malt Scotch Whisky, Aperol Aperitif, Auchentoshan American Oak Single Malt Scotch Whisky, Aperol Aperitif, Grapefruit Juice, Lemon Wheel",Beer,Fruity,3,34
Laphroaig Land and Sea,https://www.thecocktailproject.com/drink-recipes/laphroaig-land-and-sea,"Laphroaig Select, Angostura Bitters, Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters",Whiskey,Fruity,3,25
Laphroaig Broadbay Sour,https://www.thecocktailproject.com/drink-recipes/laphroaig-broadbay-sour,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel",Whiskey,Fruity,3,44
Laphroaig Back Yard Collins,https://www.thecocktailproject.com/drink-recipes/laphroaig-back-yard-collins,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel",Beer,Fruity,2,32
Prickly Pink Margarita,https://www.thecocktailproject.com/drink-recipes/prickly-pink-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade",Tequila,Fruity,3,37
Pina Punch,https://www.thecocktailproject.com/drink-recipes/pina-punch-0,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Simple Syrup, Lime Juice, Pineapple Juice",Tequila,Fruity,3,45
Sauza Cilantro Jalapeno Margarita,https://www.thecocktailproject.com/drink-recipes/sauza-cilantro-jalapeno-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Lime Juice, Sprig Cilantro",Tequila,Fruity,3,45
EFFEN Green Apple Cooler,https://www.thecocktailproject.com/drink-recipes/effen-green-apple-cooler,"EFFEN Green Apple Vodka, Lemonade, EFFEN Green Apple Vodka, Lemonade, Lemon-Lime Soda, Green Apple Slices",Vodka,Fruity,3,77
EFFEN Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/effen-raspberry-lemonade,"EFFEN Raspberry Vodka, Lemonade, EFFEN Raspberry Vodka, Lemonade",Vodka,Fruity,3,28
EFFEN Blood Orange Mimosa,https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-mimosa,"EFFEN Blood Orange Vodka, Orange Juice, EFFEN Blood Orange Vodka, Orange Juice, Wine, Sparkling",Vodka,Fruity,3,37
