Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion,Description,orange,cranberry,pineapple,citrus,bitters,fresh,herb,cinnamon,Cinnamon,Mint,Lime
Sideline Sipper,https://www.thecocktailproject.com/drink-recipes/sideline-sipper,"Lemonade, Lemonade",Cordials,Sweet,3,38,"Lemonade, Lemonade",,['game-day'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Blue Lagoon,https://www.thecocktailproject.com/drink-recipes/blue-lagoon,,Cordials,Sweet,3,42,,,['game-day'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Home Team Punch,https://www.thecocktailproject.com/drink-recipes/home-team-punch,,Cordials,Sweet,3,30,,,['game-day'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Red Zone,https://www.thecocktailproject.com/drink-recipes/red-zone,"Cranberry Juice, Cranberry Juice",Cordials,Sweet,3,32,Cranberry Juice,['red'],['game-day'],,NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Sour Apple Highball,https://www.thecocktailproject.com/drink-recipes/sour-apple-highball,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda",Cordials,Sweet,3,35,"Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda",['green'],['game-day'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Yellowhammer,https://www.thecocktailproject.com/drink-recipes/yellowhammer,"Cruzan Aged Light Rum, Orange Juice, Cruzan Aged Light Rum, Orange Juice, Pineapple Juice",Cordials,Fruity,3,50,"Cruzan Aged Light Rum, Orange Juice, Pineapple Juice",['yellow'],['game-day'],,orange,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Blue Mule,https://www.thecocktailproject.com/drink-recipes/blue-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice",Cordials,Sweet,3,33,"Pinnacle Original Vodka, Lime Juice",,['game-day'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Watermelon Rush,https://www.thecocktailproject.com/drink-recipes/watermelon-rush,"Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix",Cordials,Sour,3,43,"Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix",['red'],['game-day'],,NA,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cubbie Blue,https://www.thecocktailproject.com/drink-recipes/cubbie-blue,,Cordials,Sweet,3,42,,,['game-day'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Orangesicle,https://www.thecocktailproject.com/drink-recipes/orangesicle,Ice,Cordials,Sweet,3,56,Ice,['orange'],['game-day'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cranberry Mojito,https://www.thecocktailproject.com/drink-recipes/cranberry-mojito,"Cruzan Aged Light Rum, Fresh Mint Leaves, Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel",Rum,Fruity,3,39,"Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel",['red'],"['christmas', 'fall', 'holiday', 'winter']","Add a tart red touch to your favorite mint drink. This cranberry cocktail takes all the flavors of a classic mojito and combines it with the tangy zing of fresh cranberries. Mint and simple syrup cut through the tartness, while Cruzan?? rum creates a robust and complex flavor. The bright colors make this a great cocktail to serve at the holidays or while simply spending time with friends.",NA,NA,NA,citrus,NA,fresh,NA,NA,nocinnamon,mint,lime
Blue Flurry,https://www.thecocktailproject.com/drink-recipes/blue-flurry,"Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut",Cordials,Frozen,3,30,"Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut",,"['christmas', 'fall', 'holiday', 'new-years', 'thanksgiving', 'winter']","Cold as the snowy weather outside, the Blue Flurry cocktail embodies winter?Â?s spirit. Pineapple juice, blue curacao and coconut cream give this blue cocktail drink a tropical and sweet flavor, while the turquoise color, ice and coconut flakes add a frosty feel. Enjoy winter?Â?s version of a pi??a colada from the comfort of a toasty home.",NA,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Bourbon Cider Sour,https://www.thecocktailproject.com/drink-recipes/bourbon-cider-sour,"Jim Beam, Apple Cider, Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices",Bourbon,Fruity,3,55,"Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices",['orange'],"['fall', 'thanksgiving']",Add a little fall flavor into a basic whiskey sour. This bourbon apple cider takes smooth and smoky Jim Beam?? Bourbon and mixes it with the crisp and tart tang of cold apple cider and orange juice. Whip it up in a flash and enjoy alongside a delicious dinner.,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Laphroaig Blood Mary Queen of Scots,https://www.thecocktailproject.com/drink-recipes/laphroaig-blood-mary-queen-scots,"Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black",Scotch,Savory,3,25,"Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black",['red'],"['brunch', 'fall']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Pumpkin Spice White Russian,https://www.thecocktailproject.com/drink-recipes/pumpkin-spice-white-russian,"Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice",Cordials,Sweet,3,20,"Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice",['brown'],['fall'],"Rich and creamy, with a pumpkin spice twist, this pumpkin cocktail is a delight to make and drink. Creamy Pinnacle?? Whipped?? Vodka, Kamora?? Coffee Liqueur and milk are the base, while pumpkin spice coffee creamer and pumpkin puree add a blissful autumn flavor. Skip the pumpkin spice latte, and try this fall cocktail that is perfect for a nightcap or near a roaring fire.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Glasgow Seelbach,https://www.thecocktailproject.com/drink-recipes/glasgow-seelbach,"Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist",Champagne,Sweet,3,27,"Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist",['yellow'],['fall'],,NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Bobby Burns,https://www.thecocktailproject.com/drink-recipes/bobby-burns,"Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel",Scotch,Savory,3,35,"Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel",['brown'],['fall'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Rob Roy,https://www.thecocktailproject.com/drink-recipes/rob-roy,"Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel",Scotch,,3,28,"Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel",['brown'],['fall'],,NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Zombie,https://www.thecocktailproject.com/drink-recipes/zombie,"Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries",Rum,Fruity,3,37,"Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries",['orange'],"['fall', 'halloween']","Tropical and fruity, this tiki cocktail is nowhere near as frightening as its name. The Zombie combines both light, dark and 151 rum with sweet apricot liqueur and orange juice for a tangy, smooth flavor. Top with a spooky garnish for a delicious and zesty zombie you won?Â?t want to run from.",orange,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Berry White,https://www.thecocktailproject.com/drink-recipes/berry-white,"Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters",Beer,Fruity,3,27,"Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters",['brown'],"['bbq', 'fall', 'game-day', 'thanksgiving']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Laphroaig Land and Sea,https://www.thecocktailproject.com/drink-recipes/laphroaig-land-and-sea,"Laphroaig Select, Angostura Bitters, Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters",Whiskey,Fruity,3,25,"Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters",['brown'],"['fall', 'thanksgiving']",,NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Laphroaig Broadbay Sour,https://www.thecocktailproject.com/drink-recipes/laphroaig-broadbay-sour,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel",Whiskey,Fruity,3,44,"Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel",,['fall'],,NA,NA,NA,NA,NA,NA,NA,cinnamon,cinnamon,nomint,nolime
Laphroaig Back Yard Collins,https://www.thecocktailproject.com/drink-recipes/laphroaig-back-yard-collins,"Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel",Beer,Fruity,2,32,"Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel",['brown'],"['bbq', 'fall']",,orange,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Prickly Pink Margarita,https://www.thecocktailproject.com/drink-recipes/prickly-pink-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade",Tequila,Fruity,3,37,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade",['pink'],"['fall', 'spring', 'summer', 'tropical']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Pina Punch,https://www.thecocktailproject.com/drink-recipes/pina-punch-0,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Simple Syrup, Lime Juice, Pineapple Juice",Tequila,Fruity,3,45,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Blueberry Schnapps Liqueur, Simple Syrup, Lime Juice, Pineapple Juice",['yellow'],"['bbq', 'brunch', 'fall', 'spring', 'summer']",,NA,NA,pineapple,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Sauza Cilantro Jalapeno Margarita,https://www.thecocktailproject.com/drink-recipes/sauza-cilantro-jalapeno-margarita,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Lime Juice, Sprig Cilantro",Tequila,Fruity,3,45,"Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Lime Juice, Sprig Cilantro",['yellow'],"['fall', 'spring', 'summer']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
EFFEN Green Apple Cooler,https://www.thecocktailproject.com/drink-recipes/effen-green-apple-cooler,"EFFEN Green Apple Vodka, Lemonade, EFFEN Green Apple Vodka, Lemonade, Lemon-Lime Soda, Green Apple Slices",Vodka,Fruity,3,77,"EFFEN Green Apple Vodka, Lemonade, Lemon-Lime Soda, Green Apple Slices",['clear'],"['fall', 'spring', 'summer']","Bursting with sweet-tart, juicy flavor, this green apple vodka lemonade drink isn?Â?t your average cooler. Garnish with green apple slices and serve spring, summer and fall.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
EFFEN Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/effen-raspberry-lemonade,"EFFEN Raspberry Vodka, Lemonade, EFFEN Raspberry Vodka, Lemonade",Vodka,Fruity,3,28,"EFFEN Raspberry Vodka, Lemonade",['clear'],"['brunch', 'summer']","Relax by the pool with this summertime raspberry vodka drink. Light and tangy, juicy and sweet, chilled raspberry vodka and lemonade will help you beat the heat. Garnish with fresh raspberries and a twist for a pop of color.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
EFFEN Blood Orange Mimosa,https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-mimosa,"EFFEN Blood Orange Vodka, Orange Juice, EFFEN Blood Orange Vodka, Orange Juice, Wine, Sparkling",Vodka,Fruity,3,37,"EFFEN Blood Orange Vodka, Orange Juice, Wine, Sparkling",['yellow'],"['ladies-night', 'brunch', 'fall']","Punch up brunch with a mimosa recipe that packs extra flavor and attitude. Blood orange vodka is the secret ingredient that will make your friends wonder why mimosas always taste better at your house. Not for brunch only?Â?this drink is great for showers, luncheons and garden parties.",orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Black Sunset,https://www.thecocktailproject.com/drink-recipes/black-sunset,"Jim Beam Black, Amaro Liqueur, Jim Beam Black, Amaro Liqueur, Aperol Aperitif, Lemon Juice",Bourbon,Fruity,3,28,"Jim Beam Black, Amaro Liqueur, Aperol Aperitif, Lemon Juice",['red'],"['fall', 'spring']","Ruby-hued, complex and juicy, this elegant blend makes the effortless transition from chic aperitif, to velvety-smooth nightcap. The perfectly balanced Black Sunset makes an excellent spring or fall cocktail your dinner party guests will rave over.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Double Oak Whiskey Smash,https://www.thecocktailproject.com/drink-recipes/double-oak-whiskey-smash,"Lemon, Lemon, Sugar, Granulated, Mint, Fresh, Ice, Crushed, Easy Ice Tips",Bourbon,Fruity,3,39,"Lemon, Sugar, Granulated, Mint, Fresh, Ice, Crushed, Easy Ice Tips",['orange'],"['bbq', 'fall', 'summer']","From brunches and lunches to backyard barbecues and garden parties, this breezy, whiskey smash cocktail is full of toffee-caramel flavor and oaky vanilla notes, with a hint of bright citrus acidity. It pairs well with warm summer nights and just about anything you can throw on the grill.",NA,NA,NA,NA,NA,fresh,NA,NA,nocinnamon,mint,nolime
Jim Beam Black Hot Toddy,https://www.thecocktailproject.com/drink-recipes/jim-beam-black-hot-toddy,"Jim Beam Black, Honey, Jim Beam Black, Honey, Lemon Juice, Hot Water, Lemon Peel",Bourbon,Hot,3,51,"Jim Beam Black, Honey, Lemon Juice, Hot Water, Lemon Peel",['brown'],"['fall', 'winter']","Chase away winter chills with your new favorite hot toddy recipe. Extra-aged bourbon adds full-bodied richness, with flavors of vanilla, toasted oak, and baking spice. Perfect for cozy holiday celebrations or quiet nights by the fire.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cucumber Melon Margarita,https://www.thecocktailproject.com/drink-recipes/cucumber-melon-margarita,"Hornitos Plata Tequila, Midori Melon Liqueur, Hornitos Plata Tequila, Midori Melon Liqueur, Lime Juice, Agave Syrup, Cucumber",Cordials,Sweet,3,35,"Hornitos Plata Tequila, Midori Melon Liqueur, Lime Juice, Agave Syrup, Cucumber",['green'],"['spring', 'summer']","Surprisingly fresh and delicious, a cucumber margarita is a tasty twist on a classic. Melon-flavored Midori?? liqueur adds a sweet kick to smooth Hornitos?? Tequila, while freshly muddled cucumber is the crisp and cool element this cocktail needs. Serve with a spicy dish for an impressive take on a margarita.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Cucumber Cooler,https://www.thecocktailproject.com/drink-recipes/cucumber-cooler,"EFFEN Cucumber Vodka, Midori Melon Liqueur, EFFEN Cucumber Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber, Simple Garnishes",Cordials,Sour,3,33,"EFFEN Cucumber Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber, Simple Garnishes",['green'],"['spring', 'summer']","Inspired by the essence of vine-ripened fruits and veggies, this cucumber vodka recipe is both crisp, clean and surprisingly sweet. Melon-flavored Midori?? liqueur gives the cucumber cooler a bright green hue, while EFFEN?? vodka adds a fresh flavor. Tart lime and simple syrup finish it off, for a balanced cocktail to enjoy outside.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Buttershots Old Fashioned,https://www.thecocktailproject.com/drink-recipes/buttershots-old-fashioned,"Jim Beam, DeKuyper Buttershots Schnapps, Jim Beam, DeKuyper Buttershots Schnapps, Angostura Bitters, Maraschino Cherries",Bourbon,Sweet,3,128,"Jim Beam, DeKuyper Buttershots Schnapps, Angostura Bitters, Maraschino Cherries",['yellow'],"['fall', 'holiday']","Rich like brown sugar, with a buttery undertone, this whiskey old fashioned is a little untraditional. Muddled Maraschino cherries and earthy bitters create a bittersweet base, while smooth Jim Beam?? Whiskey pairs with creamy DeKuyper?? Schnapps for a delicious butterscotch schnapps cocktails. Sip this sweet Old Fashioned cocktail bourbon on its own and savor its uniquely buttery flavor.",NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Paloma,https://www.thecocktailproject.com/drink-recipes/paloma,"Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",Tequila,Fruity,3,50,"Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",['pink'],"['bbq', 'spring', 'summer']","Spanish for ?Â?Dove,?Â? a tasty tequila paloma always flies for an afternoon delight. Hornitos?? Plata Tequila, the purest expression of the powerful 100% agave flavor, is given a tart twist with fresh, ruby red grapefruit juice. Club soda adds a bubbly twist to this cocktail, while fresh rosemary emits a floral sweetness. Go ahead and unwind with this grapefruit cocktail during your mid-day siesta.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Melon Berry Mist,https://www.thecocktailproject.com/drink-recipes/melon-berry-mist,"Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Cranberry Juice, Strawberries, Cucumber",Cordials,Fruity,3,19,"Midori Melon Liqueur, Pinnacle Original Vodka, Cranberry Juice, Strawberries, Cucumber",['red'],"['bbq', 'spring', 'summer']","Get the ripe taste of berries picked straight from the garden with a fruit cocktail. Freshly muddled strawberries and cucumbers add a real fruit element to this vodka cocktail, while Midori?? melon liqueur layers sweetness throughout. Garnish with a crisp cucumber and enjoy outdoors with a warm breeze.",NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Rye Opener,https://www.thecocktailproject.com/drink-recipes/rye-opener,"Alberta Rye Dark Batch???????????????? Whisky, Amaro Liqueur, Alberta Rye Dark Batch???????????????? Whisky, Amaro Liqueur, Kamora Coffee Liqueur, Simple Syrup, Orange Bitters, Angostura Bitters, Orange Peel",Rye Whisky,Savory,3,34,"Alberta Rye Dark Batch???????????????????????? Whisky, Amaro Liqueur, Kamora Coffee Liqueur, Simple Syrup, Orange Bitters, Angostura Bitters, Orange Peel",['yellow'],['fall'],"Complex and dark, it doesn?Â?t get much more sophisticated than this bitters cocktail. The unique flavor of Alberta?? Rye Dark Batch??? whisky pairs nicely with bittersweet Amaro Liqueur and the sweet, coffee notes of Kamora?? Liqueur. Aromatic bitters add yet another layer of flavor to this rye cocktail, so your taste buds continue to be wowed.",NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Rye Squeeze,https://www.thecocktailproject.com/drink-recipes/rye-squeeze,"Alberta Rye Dark Batch???????????????? Whisky, Ginger Beer, Alberta Rye Dark Batch???????????????? Whisky, Ginger Beer, Angostura Bitters, Orange Wedges, Orange Peel",Rye Whisky,Savory,3,63,"Alberta Rye Dark Batch???????????????????????? Whisky, Ginger Beer, Angostura Bitters, Orange Wedges, Orange Peel",['yellow'],['fall'],"This one-of-a-kind rye and ginger beer cocktail might just become your main squeeze. Alberta?? Rye Dark Batch whisky will surprise your palate with flavors of rye whisky, bourbon and a touch of sherry. Zesty ginger beer adds a little bite, while bitters enhance the flavor profile. Garnish with an orange peel for a unique cocktail that will steal the spotlight.",NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Bourbon Milk Punch,https://www.thecocktailproject.com/drink-recipes/bourbon-milk-punch,"Milk, Half and Half, Milk, Half and Half, Jim Beam Original, Sugar, Powdered, Vanilla Extract, Nutmeg, Cinnamon Stick",Bourbon,Sweet,3,37,"Milk, Half and Half, Jim Beam Original, Sugar, Powdered, Vanilla Extract, Nutmeg, Cinnamon Stick",,"['fall', 'holiday', 'winter']","Nothing beats a glass of milk before bed, especially if it?Â?s bourbon milk punch. This slushy vanilla bourbon drink is rich, sweet, and incredibly tasty. A touch of nutmeg complements the notes of caramel in Jim Beam?? Bourbon, while whole milk adds a decadent twist. Whip this cocktail up for an after dinner dessert.",NA,NA,NA,NA,NA,NA,NA,cinnamon,cinnamon,nomint,nolime
Holiday Wreath,https://www.thecocktailproject.com/drink-recipes/holiday-wreath,"Jim Beam Rye, DeKuyper Razzmatazz Schnapps Liqueur, Jim Beam Rye, DeKuyper Razzmatazz Schnapps Liqueur, Apple Cider, Lemon Wheel",Bourbon,Fruity,3,36,"Jim Beam Rye, DeKuyper Razzmatazz Schnapps Liqueur, Apple Cider, Lemon Wheel",['red'],"['holiday', 'winter']","Just like the wreath hanging on your door, this apple cider cocktail greets the holiday season with open arms. Juicy raspberry liqueur adds a hint of freshness to the flavorful apple cider and whiskey combo. Garnish with a little lemon and enjoy this festive drink alongside family and friends.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Yule Nog,https://www.thecocktailproject.com/drink-recipes/yule-nog,"DeKuyper Buttershots Schnapps, DeKuyper Buttershots Schnapps, Better With Bitters",Bourbon,Sweet,3,41,"DeKuyper Buttershots Schnapps, Better With Bitters",,"['holiday', 'winter']","Add a festive flare to the day by whipping up a bourbon eggnog cocktail that tastes just like the holidays. Rich, creamy eggnog is the base of this tasty treat. An oaky whiskey adds a slightly spicy note while the sweetness comes from rich, melted butterscotch-flavored liqueur. Sprinkle with cinnamon for a present that doesn?Â?t need unwrapping.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Kiss Me Cocktail,https://www.thecocktailproject.com/drink-recipes/kiss-me-cocktail,"Jim Beam Rye, DeKuyper Strawberry Patch Schnapps Liqueur, Jim Beam Rye, DeKuyper Strawberry Patch Schnapps Liqueur, Passion Fruit Juice, Wine, Sparkling, Lemon Peel, Ice",Bourbon,Fruity,3,33,"Jim Beam Rye, DeKuyper Strawberry Patch Schnapps Liqueur, Passion Fruit Juice, Wine, Sparkling, Lemon Peel, Ice",['orange'],"['birthday', 'holiday', 'new-years']","No love potion is needed to fall for this passion fruit cocktail. Spicy rye whiskey and sweet, strawberry liqueur are the perfect pair, complementing each other with their distinctive flavors. Passion fruit juice adds a delightful tang, while sparkling wine gives the drink a hint of fizz. Garnish with a piece of fruit for a stunning cocktail that goes great with date night.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Laphroaig Penicillin,https://www.thecocktailproject.com/drink-recipes/laphroaig-penicillin,"Auchentoshan American Oak Single Malt Scotch Whisky, Kilbeggan Single Grain Irish Whiskey, Auchentoshan American Oak Single Malt Scotch Whisky, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Honey-Ginger Syrup*, Laphroaig Select, Candied Ginger",Scotch,Sour,3,55,"Auchentoshan American Oak Single Malt Scotch Whisky, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Honey-Ginger Syrup*, Laphroaig Select, Candied Ginger",['yellow'],"['fall', 'holiday']","Tangy, sweet and smoky, a penicillin cocktail is the perfect addition to any night. The intense flavors of spicy ginger, zesty lemon, sweet honey and peaty and potent Laphroaig?? Whisky are balanced out by a mellow scotch. Shake the ingredients together and top with Laphoraig?? for a complex cocktail that is deeply satisfying.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Vodka Beast,https://www.thecocktailproject.com/drink-recipes/vodka-beast,"EFFEN Black Cherry Vodka, Simple Syrup, EFFEN Black Cherry Vodka, Simple Syrup, White Cranberry Juice, Lemon Juice",Vodka,Fruity,3,54,"EFFEN Black Cherry Vodka, Simple Syrup, White Cranberry Juice, Lemon Juice",['clear'],['birthday'],"Sleek, chic and quite the beast, this black cherry martini will always impress. Sweet cherry notes flow seamlessly with smooth vanilla in this twist on cranberry juice and vodka. Top it off with brandied cherries for a striking drink that the guys will love.",NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cruzan Mai Tai,https://www.thecocktailproject.com/drink-recipes/cruzan-mai-tai,"Cruzan Aged Light Rum, DeKuyper Orange Curacao Liqueur, Cruzan Aged Light Rum, DeKuyper Orange Curacao Liqueur, Orgeat Syrup, Simple Syrup, Cruzan Black Strap Rum, Mint Sprig",Cordials,Fruity,3,53,"Cruzan Aged Light Rum, DeKuyper Orange Curacao Liqueur, Orgeat Syrup, Simple Syrup, Cruzan Black Strap Rum, Mint Sprig",['yellow'],"['bbq', 'summer', 'tropical']","Bright as the summer sun and as smooth as the ocean breeze, this Cruzan?? Mai Tai cocktail tastes like paradise. Float Cruzan?? Black Strap Rum to add an exotic element to the traditional tropical flavors. Once you top it with cooling mint, this rum cocktail will taste like vacation in a glass.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,mint,nolime
Tequila Sunrise,https://www.thecocktailproject.com/drink-recipes/tequila-sunrise,"Sauza Blue Silver 100% Agave Tequila, Lime Juice, Sauza Blue Silver 100% Agave Tequila, Lime Juice, Orange Juice, Cranberry Juice, Orange Wedges, Lemon Wedges, Using Fresh Citrus",Tequila,Sweet,3,100,"Sauza Blue Silver 100% Agave Tequila, Lime Juice, Orange Juice, Cranberry Juice, Orange Wedges, Lemon Wedges, Using Fresh Citrus",['orange'],"['brunch', 'tropical']",Recreate the red and orange painting in the sky by learning how to make a tequila sunrise. Fiery-tasting Sauza?? tequila is given a sweet citrusy kick from oranges and limes. Tart cranberry juice gives the drink a pop of red that makes this drink perfect for a staycation.,orange,cranberry,NA,citrus,NA,fresh,NA,NA,nocinnamon,nomint,lime
